[2026-06-10 00:18:46,344][INFO]: Deckyfin v1.0.0 loaded
[2026-06-10 00:19:03,776][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,853][INFO]: Found 74 non-Steam games for user 892854676
[2026-06-10 00:19:03,857][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,871][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,883][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,896][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,907][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,923][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,940][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,954][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,966][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,977][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:03,988][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,000][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,013][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,028][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,041][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,051][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,067][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,079][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,090][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,105][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,123][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,137][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,152][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:04,163][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:05,585][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:07,896][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-10 00:19:07,897][INFO]: Initializing Proton prefix app_id=-1069797399 user_id=892854676 proton=GE-Proton10-25 reinit=True
[2026-06-10 00:19:07,899][INFO]: Updated compat.vdf for app_id=-1069797399 user_id=892854676
[2026-06-10 00:19:07,991][INFO]: Updated local config for user=892854676 app=-1069797399
[2026-06-10 00:19:08,073][INFO]: Updated global config for app 3225169897 proton=GE-Proton10-25
[2026-06-10 00:19:08,074][INFO]: Set Proton version for app_id=-1069797399 unsigned=3225169897 to GE-Proton10-25 (user=892854676)
[2026-06-10 00:19:08,395][INFO]: Removed existing prefix at /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-10 00:19:21,087][INFO]: Prefix initialized successfully at /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-10 00:19:21,131][INFO]: Fixed prefix ownership to deck for /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-10 00:19:27,808][INFO]: Updated game config 'Clair Obscur - Expedition 33' with {'processing_state': {'status': 'installing', 'deps': ['vcrun2022', 'd3dx9'], 'pfxid': '3225169897'}}
[2026-06-10 00:19:27,811][INFO]: Selected Proton: GE-Proton10-34 (/home/deck/.local/share/Steam/compatibilitytools.d/GE-Proton10-34/files/bin/wine64, /home/deck/.local/share/Steam/compatibilitytools.d/GE-Proton10-34/files/bin/wineserver)
